Activity ID,Activity Name,Planned Duration,Planned Labor Units,Remaining Labor Units,Start,Finish,Activity % Complete,Planned Total Cost,BL1 Start,BL1 Finish,Planned Nonlabor Units,Total Float
L2HE - BL - 2021-10  L2HE Baseline (2021-10),,3091.0d,1633122.2h,1581390.2h,10-02-2017 A,06-10-30,,"$701,584,139 ",,,711983530.2h,136.0d
  L2HE - BL - 2021-10.1.00  Project Milestones,,3041.0d,0.0h,0.0h,10-02-2017 A,03-29-30,,$0 ,,,0.0h,186.0d
    L2HE - BL - 2021-10.1.00.01  Level 1 Milestones,,3041.0d,0.0h,0.0h,10-02-2018 A,03-29-30,,$0 ,,,0.0h,186.0d
      MS_L1_1000,COMP: CD-1 ESAAB Approval - Alternative Selection & Cost Range,0.0d,0.0h,0.0h,,10-02-2018 A,100%,$0 ,,,0.0h,
      MS_L1_2000,COMP: CD-3A ESAAB Approval - Long Lead Procurement,0.0d,0.0h,0.0h,,05-12-2020 A,0%,$0 ,,,0.0h,
      MS_L1_3000,COMP: CD-2/3 ESAAB Approval - Performance Baseline & Start Construction,0.0d,0.0h,0.0h,,11-28-22,0%,$0 ,,,0.0h,1968.0d
      MS_L1_4000,COMP: CD-4 ESAAB Approval - Project Complete & Start Operations,0.0d,0.0h,0.0h,,03-29-2030*,0%,$0 ,,,0.0h,0.0d
    L2HE - BL - 2021-10.1.00.02  Level 2 Milestones,,2691.0d,0.0h,0.0h,06-01-2018 A,06-12-29,,$0 ,,,0.0h,378.0d
      MS_L2_1000,COMP: CD-1 IPR,0.0d,0.0h,0.0h,,06-01-2018 A,100%,$0 ,,,0.0h,
      MS_L2_1020,COMP: CD-3A IPR,0.0d,0.0h,0.0h,,11-21-2019 A,100%,$0 ,,,0.0h,
      MS_L2_1680,COMP: SC Linac Accelerator Safety Envelop Approved by DOE,0.0d,0.0h,0.0h,,09-24-20,0%,$0 ,,,0.0h,2500.0d
      MS_L2_1100,COMP: Prototype Cryomodule R&D complete,0.0d,0.0h,0.0h,,11-24-21,0%,$0 ,,,0.0h,2212.0d
      MS_L2_1060,COMP: FNAL Cryomodule Production Readiness Review,0.0d,0.0h,0.0h,,12-15-21,0%,$0 ,,,0.0h,2199.0d
      MS_L2_1080,COMP: JLAB Cryomodule Production Readiness Review,0.0d,0.0h,0.0h,,03-10-22,0%,$0 ,,,0.0h,2150.0d
      MS_L2_1180,COMP: Prototype Cryomodule Assembly,0.0d,0.0h,0.0h,,07-19-22,0%,$0 ,,,0.0h,2059.0d
      MS_L2_1360,COMP: Final Design Review - Undulator System,0.0d,0.0h,0.0h,,07-19-22,0%,$0 ,,,0.0h,2059.0d
      MS_L2_1120,COMP: First Cryomodule shipped from FNAL to SLAC,0.0d,0.0h,0.0h,,10-28-22,0%,$0 ,,,0.0h,1987.0d
      MS_L2_1400,COMP: Final Design Review - Controls System,0.0d,0.0h,0.0h,,11-28-22,0%,$0 ,,,0.0h,1968.0d
      MS_L2_1240,COMP: CD2/3 Approval,0.0d,0.0h,0.0h,,11-28-22,0%,$0 ,,,0.0h,1908.0d
      MS_L2_1660,COMP: ES&H Review & Approval of ODH Analysis,0.0d,0.0h,0.0h,,03-08-23,0%,$0 ,,,0.0h,1908.0d
      MS_L2_1860,COMP: ES&H Review & Approval of ODH Analysis - HE Injector,0.0d,0.0h,0.0h,,03-08-23,0%,$0 ,,,0.0h,1908.0d
      MS_L2_1140,COMP: First Cryomodule shipped from JLAB to SLAC,0.0d,0.0h,0.0h,,06-30-23,0%,$0 ,,,0.0h,1827.0d
      MS_L2_1040,COMP: Prototype Cryomodule shipped from partner lab to SLAC,0.0d,0.0h,0.0h,,06-30-23,0%,$0 ,,,0.0h,1827.0d
